ID,Name,JoinDate,Score,Balance,Active,Dept,Rating,Dependents,Salary,Bonus,Contract
1,Name_1,2020-04-12,401.0,42759.589723819634,False,Engineering,1.7066526086748313,4,135187,8794.97667499607,Contract
2,Name_2,2020-12-14,605.0,30467.013722513253,True,Finance,,0,31777,3280.2061656576243,Permanent
3,Name_3,2020-09-27,491.0,,True,,4.051814362737249,2,66648,5703.422732281542,Contract
4,Name_4,2020-04-16,228.0,33839.08790314917,False,Engineering,1.3955239776977757,4,141974,8822.75232122068,Permanent
5,Name_5,2020-03-12,574.0,9583.568321504868,True,,3.7436935455503413,2,141470,3428.8096545894578,Contract
6,Name_6,2020-07-07,851.0,24215.38475308329,False,Sales,4.1621042771235475,1,47516,7935.356061519165,Intern
7,Name_7,2020-01-21,536.0,32776.382279813,False,,1.2065861690580677,2,127729,5143.7063580392905,Contract
8,Name_8,2020-04-12,267.0,2384.970351448907,True,Engineering,4.962473384480363,4,77626,1577.6660384665265,Contract
9,Name_9,2020-05-01,404.0,1730.602943585587,True,,,3,47338,405.91567724274637,Intern
10,Name_10,2020-08-02,792.0,7340.7470293298275,True,Finance,1.0850024011777055,2,77198,7267.254015221076,Permanent
11,Name_11,2020-11-26,10.0,13331.557317228067,True,HR,3.9001037813849644,0,46515,2618.7507419323997,Permanent
12,Name_12,2020-03-28,319.0,22047.907052513103,True,Sales,0.9706551252787643,4,30604,8157.288195313168,Contract
13,Name_13,2020-04-09,712.0,24884.58321422963,True,Sales,3.491299316531032,3,132965,1889.2852305102847,Permanent
14,Name_14,2020-12-25,125.0,7763.3528379569425,True,Engineering,4.277652024914518,4,119329,5678.563886684552,Contract
15,Name_15,2020-05-31,305.0,33996.18737667571,True,Engineering,4.796071363171301,2,113320,934.6927821104234,Intern
16,Name_16,2020-05-10,701.0,,False,HR,2.371237577001348,1,106994,7357.67797101707,Permanent
17,Name_17,2020-05-29,510.0,15428.74084321685,False,Sales,4.855545614910587,1,75313,7657.029327806336,Permanent
18,Name_18,2020-11-04,88.0,1669.3342883293085,True,HR,2.058111483408393,0,124051,9165.460531291204,Permanent
19,Name_19,2020-09-14,354.0,4804.747852311246,False,,1.0906401983719287,0,139389,5613.597920484691,Intern
20,Name_20,2020-12-09,627.0,20193.044000031132,False,Engineering,2.5696092654236264,3,101983,1064.4167563825936,Contract
21,Name_21,2020-10-20,351.0,8544.743207118512,False,HR,,1,98084,8277.652051640065,Contract
22,Name_22,2020-07-10,688.0,19464.16070125057,False,,2.289816580249719,2,77683,3138.9412123707593,Intern
23,Name_23,2020-10-03,13.0,31780.947621007403,False,Engineering,2.834862219833958,4,107611,8995.934257497727,Contract
24,Name_24,2020-06-09,256.0,,True,Finance,2.082045938635943,4,93677,9778.345743225169,Contract
25,Name_25,2020-11-09,208.0,12327.618273732318,True,Finance,2.623809770106249,1,52143,1324.8855784030457,Intern
26,Name_26,2020-01-22,280.0,17847.302071678867,True,Finance,,1,64653,,Permanent
