ID,Name,Date,Balance,Rating,Active
1,Name_1,2021-01-01,32269.08,4.39,False
2,Name_2,2021-01-02,23505.33,null,True
3,Name_3,2021-01-03,48260.43,1.78,True
4,Name_4,2021-01-04,11729.94,3.95,False
5,Name_5,2021-01-05,29804.96,2.67,False
6,Name_6,2021-01-06,35310.29,3.38,False
7,null,null,41452.66,1.43,True
8,Name_8,2021-01-08,20941.58,3.53,False
9,Name_9,2021-01-09,34659.17,2.49,False
10,Name_10,2021-01-10,15856.87,2.34,False
11,null,2021-01-11,22338.33,4.92,True
12,Name_12,2021-01-12,null,2.73,True
13,Name_13,2021-01-13,47545.47,3.71,False
14,Name_14,2021-01-14,36222.05,3.51,False
15,Name_15,2021-01-15,19343.24,1.42,False
16,Name_16,null,41182.83,3.99,False
17,Name_17,null,2267.49,2.29,False
18,Name_18,2021-01-18,6034.55,4.2,null
19,Name_19,2021-01-19,33407.31,null,False
20,Name_20,2021-01-20,15271.18,2.27,False
21,Name_21,2021-01-21,47617.92,2.43,null
22,Name_22,null,22366.97,3.93,False
23,Name_23,2021-01-23,22038.88,3.2,True
24,Name_24,null,34225.9,3.67,False
25,Name_25,2021-01-25,38610.86,1.63,False
26,Name_26,2021-01-26,24302.38,4.15,True
27,Name_27,2021-01-27,11486.04,2.28,False
28,Name_28,2021-01-28,null,3.48,False
29,Name_29,2021-01-29,16697.21,1.46,False
30,null,2021-01-30,9580.43,2.29,True
31,Name_31,null,31950.37,3.6,True
32,Name_32,2021-02-01,5432.23,2.1,False
33,null,2021-02-02,48596.28,null,True
34,Name_34,2021-02-03,31987.47,3.64,True
35,Name_35,2021-02-04,null,4.48,True
36,Name_36,2021-02-05,17605.78,2.58,True
37,Name_37,2021-02-06,48589.05,1.14,False
38,null,2021-02-07,8132.55,3.3,False
39,Name_39,2021-02-08,2994.04,2.36,False
40,Name_40,null,null,2.79,False
41,Name_41,2021-02-10,23778.65,3.72,False
42,Name_42,2021-02-11,5067.21,3.8,False
